Organization_Name,Employee_Satisfaction_Score,Funding_Access_Score,Market_Fit_Score,Closed
10 Minute School,6,3,3,0
ARCom,2,1,1,1
Augmedix,8,4,5,0
BJIT,6.5,3,4,0
Bdjobs,8,4,5,0
Bengal Software Solutions,6,3,3,0
Brain Station 23,7,3.333333333,4,0
Cefalo,9,4,5,0
Chaldal,8,4,5,0
CodeCrafters IT,3,1,2,1
DSi,7,3,4,0
DataSoft,2.5,1,1,1
Dream71,7,3,4,0
Dynamic Solution Innovators,5,3,3,0
Enosis Solutions,3.333333333,1.666666667,1.666666667,1
Inovace,4,2,2,0
JoomShaper,8,3,4,0
Kaz Software,8.5,4,4.5,0
Kazi IT,4,2,2,1
Kona Software Lab,9,4,5,0
LeadSoft,3,1,1,1
Misfit Technologies,3,1,1,1
Monstar Lab,8,4,4,0
Nascenia,6,3,4,0
Optimizely BD,7,4,4,0
Pathao,7.333333333,3.666666667,4,0
REVE Systems,6,3,3,0
SSL Wireless,5,2,3,0
Selise,7.333333333,3.333333333,4,0
Shikho,7,3,4,0
Shohoz,3.5,2,1.5,0
Southtech,7.5,3,4,0
Synesis IT,4,2,2,0
TechHaven BD,9,4,5,0
Themeum,5,2,2,0
Therap BD,5,3,3,0
TigerIT,8,3.5,5,0
Vivasoft,6,3,3,0
WeDevs,6,3,3,0
Workspace Infotech,4.5,2,2.5,0
bKash,9,4,5,0
eGeneration,3,1,1,1
